,ARG,ASN,ASP,GLN,GLY,LEU,LYS,PHE,PRO,SER,TRP,TYR,VAL,CYS,GLU,HIS,ILE,THR,ALA,MET
1ajq,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1ajv,1.0,0.0,3.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0
1ajx,1.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
1alw,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1amk,0.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0
1amw,0.0,2.0,2.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
1apv,0.0,1.0,3.0,0.0,4.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
1apw,0.0,1.0,3.0,0.0,4.0,4.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
1atl,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0
1avn,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1ax0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
1axz,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
1b05,3.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0
1b0h,3.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,6.0,1.0,2.0,2.0,3.0,0.0,1.0,2.0,0.0
1b1h,3.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,3.0,0.0,1.0,2.0,0.0
1b2h,3.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0
1b32,3.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0
1b38,0.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0
1b3f,3.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0
1b3g,3.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0
1b3h,3.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0
1b3l,2.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0
1b40,3.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0
1b46,3.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0
1b4h,3.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0
1b4z,3.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,5.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0
1b51,3.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0
1b52,3.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0
1b55,2.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b58,3.0,6.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0
1b5h,3.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0
1b5i,3.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0
1b5j,3.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0
1b6h,3.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0
1b6j,2.0,0.0,6.0,0.0,6.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,1.0,2.0,1.0
1b6k,2.0,0.0,6.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
1b6l,2.0,0.0,6.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0
1b6m,2.0,0.0,6.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
1b7h,3.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0
1b8n,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0
1b8o,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0
1b8y,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,5.0,0.0,0.0,3.0,0.0
1b9j,3.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0
1bai,1.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0
1bcd,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0
1bcj,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1bcu,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
1bdq,1.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
1bgq,0.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
1bhf,4.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
1bhx,0.0,1.0,3.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0
1bju,0.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,5.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
1bjv,0.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,5.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
1bm7,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
1bma,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0
1bn1,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0
1bn3,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0
1bn4,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0
1bnn,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0
1bnq,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0
1bnt,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0
1bnu,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0
1bnv,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0
1bnw,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0
1bp0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0
1bq4,6.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1br6,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0
1bv7,0.0,0.0,3.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0
1bv9,1.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
1bwa,1.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
1bwb,1.0,0.0,3.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
1bxo,0.0,1.0,3.0,1.0,4.0,4.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0
1bxq,0.0,1.0,3.0,1.0,4.0,4.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0
1bxr,4.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,2.0,2.0
1byk,3.0,0.0,2.0,0.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0
1bzc,3.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1bzj,2.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1bzy,1.0,0.0,3.0,0.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0
1c1r,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0
1c1u,0.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0
1c1v,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0
1c2t,2.0,1.0,2.0,0.0,3.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0
1c3e,2.0,1.0,2.0,0.0,3.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0
1c3x,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0
1c4u,0.0,1.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0
1c5c,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1c5n,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0
1c5o,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
1c5p,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
1c5q,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
1c5s,0.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
1c5t,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
1c5x,1.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
1c5y,1.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
1c5z,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
1c70,1.0,0.0,6.0,0.0,7.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,2.0,2.0,0.0
1c83,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1c84,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1c86,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
1c87,1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1c88,2.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1cbx,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0
1ceb,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1cet,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0
1cgl,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0
1ch8,1.0,1.0,2.0,0.0,5.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0
1ciz,0.0,1.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,5.0,0.0,0.0,3.0,0.0
1cnw,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0
1cnx,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0
1cny,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0
1cps,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0
1ct8,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
1ctt,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,3.0,1.0
1ctu,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,3.0,3.0,1.0
1d09,6.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0
1d2e,0.0,1.0,4.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0
1d3d,0.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0
1d3p,0.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0
1d4h,2.0,0.0,6.0,0.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0
1d4i,2.0,0.0,6.0,0.0,6.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0
1d4j,2.0,0.0,6.0,0.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0
1d4k,1.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0
1d4l,1.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0
1d4p,0.0,1.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0
1d4y,1.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
1d6v,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
1d6w,1.0,1.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0
1d7i,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1d7j,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1d9i,0.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0
1dar,0.0,1.0,2.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0
1db1,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,3.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0
1det,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1df8,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
1dfo,1.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,5.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0
1dhi,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0
1dhj,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0
1dif,1.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0
1dl7,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
