,ALA,ARG,ASN,ASP,CYS,GLN,GLU,GLY,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL,HIS
1af6,5,7,3,4,1,5,6,4,3,2,4,1,2,0,3,1,3,6,3,2
1afk,6,3,5,2,3,2,3,2,1,1,4,2,3,2,0,3,0,2,6,2
1afl,6,2,5,1,3,2,3,2,1,1,4,2,3,3,0,3,0,2,6,2
1agm,2,5,5,7,1,2,3,6,0,6,1,0,3,4,8,5,5,8,4,0
1ai4,2,3,8,2,0,2,1,7,1,3,0,2,7,2,5,8,5,4,1,0
1ai5,2,3,10,2,0,2,1,7,1,3,0,2,7,2,5,8,5,4,2,0
1ai7,2,3,7,2,0,2,1,6,1,2,0,2,5,2,5,7,4,3,1,0
1aid,1,3,2,3,0,0,2,7,5,3,2,1,1,2,0,3,0,0,5,0
1aj6,6,1,2,4,1,2,5,9,7,3,1,2,1,1,2,4,0,0,12,3
1aj7,2,2,2,3,1,1,0,3,4,4,3,0,1,2,2,1,2,6,1,1
1ajn,2,3,9,2,0,2,1,8,1,4,0,2,7,2,5,8,5,4,1,0
1ajp,2,3,9,2,0,2,1,7,1,2,0,2,7,2,5,8,5,4,2,0
1ajq,2,3,9,2,0,2,1,6,1,2,0,2,6,2,5,7,5,3,1,0
1ajv,2,2,2,3,0,2,1,7,5,7,1,1,1,3,0,4,0,0,5,0
1ajx,2,2,2,3,0,0,1,7,5,7,1,1,1,3,0,3,0,0,4,0
1alw,1,1,3,2,0,2,0,0,4,5,4,1,4,1,0,2,2,1,2,1
1amw,4,5,4,3,0,2,2,8,12,7,3,2,6,0,7,4,1,1,3,0
1apb,5,3,3,8,1,4,4,5,3,4,1,3,1,5,4,5,1,0,6,1
1apv,7,0,7,7,1,4,2,14,8,10,1,0,6,1,11,6,2,4,0,0
1apw,6,0,7,7,1,4,2,14,8,10,1,0,6,1,10,6,2,5,0,0
1atl,2,1,1,3,2,2,5,7,2,10,2,4,2,2,6,3,0,1,2,4
1avn,1,1,4,0,0,1,1,1,1,6,1,0,5,2,0,2,1,1,4,5
1awi,4,2,2,3,1,1,1,2,2,2,4,2,0,1,4,2,2,4,3,1
1ax0,5,2,3,5,0,2,1,5,1,2,0,0,2,3,3,3,2,2,0,1
1axz,5,2,1,5,0,2,1,5,1,2,0,0,1,3,3,3,2,2,0,1
1b05,5,5,11,6,2,2,4,3,3,8,3,1,2,4,9,6,2,15,5,3
1b0h,6,5,12,6,2,3,4,3,4,9,4,2,3,4,12,7,2,17,5,4
1b11,1,3,3,3,1,2,0,7,4,7,1,2,0,1,0,2,0,0,2,0
1b1h,5,5,11,6,2,4,5,4,3,7,4,2,3,4,11,9,2,15,5,4
1b2h,5,5,11,6,2,3,4,4,3,8,3,2,3,4,10,8,2,15,5,4
1b32,5,5,11,6,2,3,4,4,2,7,4,2,3,4,10,8,2,15,5,4
1b38,4,3,2,5,0,2,4,5,4,11,9,0,5,2,0,4,0,4,10,2
1b39,4,3,2,4,0,2,4,5,4,13,9,0,5,2,0,4,0,4,10,2
1b3f,5,5,11,6,2,3,4,3,2,7,4,2,3,4,10,7,2,15,5,4
1b3g,5,5,11,6,2,1,4,3,3,7,4,1,2,4,9,7,2,16,5,3
1b3h,6,5,11,7,2,2,4,4,2,7,4,2,3,5,13,8,2,15,5,4
1b3l,4,5,10,5,2,2,4,3,2,6,2,1,2,4,8,6,2,15,5,3
1b40,6,5,11,6,2,3,4,4,2,7,4,2,3,4,13,7,2,15,5,4
1b46,5,5,11,6,2,2,4,3,2,6,4,1,2,4,9,6,2,15,5,3
1b4h,5,5,11,7,2,2,4,3,2,7,3,2,3,5,9,6,2,15,5,3
1b4z,5,5,11,6,2,2,4,3,2,7,4,2,2,4,10,6,2,15,5,3
1b51,5,5,11,6,2,2,4,3,3,7,3,1,2,4,9,6,2,15,5,3
1b52,5,5,11,7,2,1,4,3,3,7,4,1,2,4,9,6,2,14,5,3
1b55,0,2,1,0,0,2,3,1,1,5,9,0,3,2,5,1,0,5,1,0
1b58,6,5,12,6,2,2,4,4,2,7,4,2,3,4,12,7,2,16,5,4
1b5h,5,5,11,6,2,2,4,3,3,7,3,1,2,4,9,6,2,15,5,3
1b5i,5,5,11,6,2,2,4,3,2,7,3,2,2,4,10,7,2,15,5,3
1b5j,5,5,11,6,2,3,4,3,2,7,4,2,3,4,10,7,2,15,5,4
1b6h,5,5,11,6,2,3,4,3,3,7,3,1,3,4,9,8,2,15,5,3
1b6j,4,4,4,6,0,0,2,13,10,13,3,2,2,6,0,7,0,0,7,0
1b6k,4,4,4,6,0,0,1,13,12,8,2,2,2,6,0,7,0,0,8,0
1b6l,4,4,4,6,0,0,1,12,12,11,4,2,2,6,0,8,0,0,8,0
1b6m,4,4,4,6,0,0,2,13,12,9,3,2,2,6,0,7,0,0,8,0
1b74,9,0,1,2,3,0,3,8,7,8,3,0,1,3,6,5,0,4,9,1
1b7h,5,5,11,7,2,3,4,4,2,7,4,2,3,5,9,8,2,15,5,4
1b8n,5,1,4,1,2,0,7,10,2,7,2,4,2,3,4,5,0,2,7,3
1b8o,5,1,5,1,2,0,7,11,2,6,2,4,2,3,4,5,0,2,7,3
1b8y,6,2,3,5,0,0,3,4,1,9,0,1,6,1,4,5,2,4,3,6
1b9j,5,5,11,6,2,3,4,3,2,7,4,1,3,4,10,8,2,15,5,3
1bai,5,3,2,4,1,1,1,6,5,5,2,1,0,5,1,4,0,0,4,2
1bap,5,3,3,7,1,4,3,4,3,5,1,3,1,5,4,4,1,0,5,1
1bcd,2,2,3,0,1,2,3,3,3,8,0,0,4,3,2,3,6,2,7,6
1bcu,3,1,1,4,5,0,3,10,2,3,3,0,3,0,2,2,2,4,4,1
1bdq,2,2,2,3,0,0,0,6,6,6,1,1,1,3,1,3,0,0,4,0
1bgq,3,6,4,3,0,1,3,7,11,8,4,1,4,0,6,2,1,2,3,0
1bhf,3,4,0,4,1,1,3,1,4,6,4,0,3,1,8,3,0,3,3,2
1bhx,4,5,3,6,5,0,4,11,4,5,3,1,3,2,3,4,3,4,4,1
1bma,5,3,3,5,4,2,0,12,1,4,2,1,2,2,5,9,3,0,9,2
1bn1,3,2,3,1,1,4,4,5,3,9,1,0,6,3,3,3,6,2,5,6
1bn3,3,3,4,2,1,4,4,5,3,8,1,0,6,3,3,3,6,2,5,6
1bn4,3,3,3,1,1,4,4,5,3,9,1,0,6,3,3,3,6,2,5,6
1bnn,3,3,3,2,1,4,4,5,3,9,1,0,6,3,3,3,6,2,5,6
1bnq,3,3,5,2,1,4,4,7,3,9,2,1,7,3,2,3,5,2,5,6
1bnt,3,3,4,1,1,4,4,6,3,9,1,0,6,3,3,3,6,2,5,6
1bnu,3,3,4,2,1,4,4,5,3,9,1,0,6,3,2,3,6,2,5,6
1bnv,3,4,3,2,1,4,4,6,3,9,2,0,6,3,3,3,6,2,5,6
1bnw,3,3,3,2,1,4,4,4,3,9,1,0,6,3,3,3,6,2,5,6
1bp0,5,3,2,3,1,3,1,3,5,6,1,1,4,4,4,4,3,7,5,6
1bq4,2,6,6,0,0,2,5,6,2,6,5,0,2,2,5,3,2,2,3,3
1br6,5,7,4,4,1,1,3,4,6,9,0,2,6,2,4,3,1,5,5,1
1bra,2,0,3,4,4,1,0,12,3,4,2,0,2,2,6,1,1,3,7,1
1bv7,1,2,2,3,0,1,1,6,5,7,2,1,2,3,0,4,0,0,3,0
1bv9,2,2,2,3,0,1,1,6,4,7,2,1,1,3,0,4,0,0,5,0
1bwa,2,2,2,3,0,1,1,6,4,7,1,1,2,3,0,4,0,0,4,0
1bwb,2,2,2,3,0,1,1,7,4,7,2,1,2,4,0,4,0,0,4,0
1bxo,7,0,6,8,1,4,2,17,8,10,1,0,6,1,10,6,2,5,1,0
1bxq,7,0,6,8,1,4,2,17,8,10,1,0,5,1,13,6,2,5,1,0
1bxr,6,7,3,4,1,4,8,12,9,5,4,4,5,3,9,7,1,2,6,1
1byk,7,4,2,7,2,2,1,9,4,11,2,3,3,3,6,7,0,3,9,1
1bzc,1,7,3,2,3,3,1,6,2,5,4,2,2,2,4,3,1,2,3,1
1bzh,2,8,4,2,2,4,2,6,2,6,4,2,2,3,4,3,1,2,3,1
1bzj,1,7,3,2,3,3,1,6,2,4,3,2,2,2,4,3,1,2,4,1
1bzy,1,4,2,6,3,2,2,6,7,8,8,1,4,2,4,5,0,6,8,1
1c1r,4,0,1,3,5,2,0,10,3,3,5,0,2,1,8,1,2,7,4,2
1c1u,4,3,1,4,5,1,4,10,3,8,3,0,4,0,2,3,2,4,4,1
1c1v,4,2,2,4,5,1,4,10,3,8,3,0,5,0,2,3,2,4,4,1
1c3x,5,1,2,2,1,1,2,10,2,7,0,1,2,2,3,7,1,3,5,3
1c4u,4,4,3,6,5,0,4,10,4,5,3,1,3,2,3,3,3,5,4,1
1c4v,4,6,3,7,6,0,4,12,4,5,4,1,3,2,3,4,4,5,4,1
1c5c,3,2,1,3,1,2,0,2,3,5,2,0,2,2,4,1,2,5,0,0
1c5n,3,2,1,5,5,0,3,11,2,3,3,0,3,0,2,2,2,4,4,1
1c5o,3,2,1,4,5,0,3,10,2,3,3,0,3,0,2,2,2,3,4,1
1c5p,4,0,2,3,5,2,0,11,3,2,4,0,2,1,6,1,1,4,4,1
1c5q,4,0,2,3,5,2,0,12,3,2,4,0,2,1,6,1,1,4,4,1
1c5s,4,0,2,3,5,2,0,11,3,2,4,0,2,1,6,1,1,4,4,1
1c5t,4,0,2,3,5,2,0,11,3,2,4,0,2,1,6,1,1,4,4,1
1c5x,6,1,0,5,5,1,0,8,4,4,3,0,0,1,4,4,2,4,4,2
1c5y,6,1,0,5,5,1,0,8,4,4,3,0,0,1,4,4,2,4,4,2
1c5z,6,1,0,5,5,1,0,8,4,4,3,0,0,1,4,4,2,3,4,2
1c70,4,4,4,6,0,2,3,13,10,14,4,2,2,6,0,8,0,0,8,0
1c83,1,7,2,2,3,3,1,6,2,4,3,3,2,1,4,3,1,2,4,1
1c84,1,7,2,2,2,3,1,6,2,4,3,3,2,1,4,3,1,3,5,1
1c86,1,6,3,1,3,3,1,6,2,4,3,3,2,1,4,3,1,3,6,1
1c87,1,7,2,2,3,3,1,6,2,4,2,3,2,2,4,3,1,3,5,1
1c88,1,7,3,2,3,3,1,6,2,4,3,3,2,1,4,3,1,2,4,1
1caq,7,3,3,5,0,0,3,6,1,10,0,1,6,4,4,6,2,4,3,6
1cbx,5,4,2,4,0,2,3,6,7,5,1,0,4,1,10,6,2,7,0,2
1ce5,4,0,2,3,5,2,0,11,3,2,4,0,2,1,6,1,1,4,4,1
1cea,0,4,3,3,2,2,0,1,0,1,1,0,1,4,1,2,2,3,0,2
1ceb,0,4,3,3,2,2,0,1,0,1,2,0,1,4,1,2,2,3,0,2
1cet,1,0,3,1,0,0,1,6,5,4,2,2,2,2,2,4,0,1,6,1
1cgl,6,2,3,5,0,0,3,7,2,5,0,1,4,3,5,1,1,3,3,7
1ch8,4,4,2,5,2,3,5,14,6,10,7,1,2,2,2,12,1,1,7,2
1cil,3,3,4,1,1,4,4,6,3,9,1,1,7,3,3,3,6,2,5,6
1cim,3,3,3,1,1,3,4,6,3,8,0,0,6,3,2,3,6,2,5,6
1cin,3,3,3,1,1,3,4,6,3,9,1,0,6,3,3,3,6,2,5,6
1ciz,7,3,3,5,0,0,3,5,1,9,1,1,6,3,4,6,2,4,3,6
1cnw,3,2,3,1,1,4,4,4,3,8,1,0,5,3,2,3,5,2,6,6
1cnx,3,2,3,2,1,4,4,3,3,8,1,0,4,3,2,3,5,2,7,6
1cny,3,2,3,1,1,4,4,3,3,7,1,0,5,3,2,3,5,2,5,6
1cps,5,4,2,4,0,2,3,7,7,6,1,0,4,1,10,6,4,7,0,2
1ct8,2,1,2,0,0,2,1,5,2,4,2,0,2,1,3,5,3,5,3,3
1ctt,10,3,7,2,2,5,5,4,4,3,0,3,4,4,3,6,0,2,3,2
1ctu,9,2,7,2,2,5,5,4,3,4,0,3,5,4,2,6,0,3,3,2
1d09,3,8,3,4,0,4,5,6,1,5,3,2,3,4,5,8,0,3,6,4
1d2e,10,1,3,7,2,3,2,5,4,6,3,0,0,1,2,6,0,3,7,5
1d3d,4,5,3,6,5,0,5,10,4,7,3,1,4,2,2,4,3,5,4,1
1d3p,4,6,4,6,5,0,5,10,4,7,3,1,4,2,2,4,3,5,4,1
1d4k,2,2,2,3,0,0,0,7,6,6,3,1,1,3,0,4,0,0,5,0
1d4l,2,2,2,3,0,1,1,7,6,6,2,1,1,3,0,4,0,0,5,0
1d4p,4,5,3,7,5,0,4,10,4,5,3,1,3,2,2,4,3,5,4,1
1d4y,2,2,2,3,0,1,2,6,6,6,3,1,1,3,0,4,0,0,4,0
1d5r,2,5,2,3,2,1,2,5,3,1,4,2,2,3,1,3,1,2,3,3
1d6v,1,2,2,3,1,2,1,2,2,5,2,0,4,2,2,2,2,8,1,0
1d6w,4,6,3,7,5,0,4,11,4,5,3,1,3,2,3,4,3,5,4,1
1d7i,1,3,0,2,0,1,3,2,4,2,2,1,4,1,2,1,1,3,5,2
1d7j,1,3,0,2,0,1,3,3,4,2,1,1,4,0,2,1,1,3,5,2
1d9i,4,4,3,6,5,0,4,10,4,6,3,1,1,2,3,4,3,4,4,1
1db1,3,5,2,5,3,3,6,3,6,14,6,4,5,3,10,6,1,6,7,5
1det,2,1,5,0,0,0,2,2,1,0,1,0,3,1,3,1,0,5,2,2
1df8,9,1,5,2,0,2,2,4,0,4,2,0,2,0,6,8,6,3,3,2
1dfo,6,3,7,3,0,1,2,12,2,4,8,1,4,6,9,3,0,5,6,5
1dhi,7,4,4,1,1,1,2,7,6,8,2,4,3,3,3,3,3,3,3,2
1dhj,7,3,5,1,1,1,2,7,7,8,2,4,3,3,3,3,3,3,4,2
1dif,2,2,2,3,0,1,1,6,5,6,1,1,1,3,0,3,0,0,4,0
1dl7,2,1,3,0,0,0,0,3,1,2,1,0,0,2,2,4,5,3,2,2
1dmp,2,2,2,3,0,0,1,6,5,7,1,1,1,3,0,4,0,0,3,0
1dqn,2,2,2,6,2,1,2,6,7,11,3,2,5,1,7,2,1,4,4,1
1dqx,7,5,2,7,2,4,2,8,5,11,6,2,4,1,4,4,0,2,7,2
1drj,8,5,6,7,0,4,2,4,4,6,0,1,5,3,5,5,0,0,2,1
1drk,9,4,6,7,0,4,2,4,4,6,1,1,5,3,5,6,0,0,2,1
1dud,7,2,1,3,0,3,1,8,7,12,1,4,0,2,4,3,0,1,4,2
1duv,5,6,6,5,2,4,7,5,2,7,2,5,4,2,5,7,2,5,4,3
1dy4,5,5,4,9,6,1,2,4,1,7,0,3,2,5,6,2,4,8,2,1
1dzk,2,1,6,1,0,1,1,5,11,5,2,2,8,1,8,5,1,4,7,0
1e1v,3,0,2,4,0,2,4,3,3,12,9,0,4,1,0,4,0,3,6,2
1e1x,3,0,2,4,0,2,4,3,4,11,9,0,4,1,0,3,0,3,6,2
1e2k,8,7,1,3,1,3,3,5,6,5,1,8,1,7,2,7,1,5,1,3
1e2l,8,7,1,3,1,3,3,5,6,5,1,8,2,7,2,6,1,3,1,3
1e3v,5,4,2,4,2,4,4,5,7,4,1,5,3,2,2,0,2,4,8,0
1e4h,5,1,0,1,0,0,1,2,1,3,1,1,0,1,4,4,0,3,4,0
1e5a,5,0,0,1,0,0,1,2,1,4,1,1,0,1,4,4,0,3,4,1
1e66,3,2,3,2,0,3,6,13,4,4,1,2,7,2,8,0,6,7,7,1
1e6q,4,5,5,3,0,2,3,5,5,4,1,1,6,0,5,6,3,6,2,1
1e6s,4,5,5,3,0,2,3,5,5,4,1,1,6,0,5,6,3,6,2,1
1ec9,5,3,5,8,1,2,1,4,1,9,2,4,6,3,4,5,2,2,1,4
1ecq,6,3,5,8,1,2,1,4,2,9,2,3,6,2,4,5,2,2,1,4
1ecv,1,7,3,2,2,3,1,6,2,4,3,3,2,1,4,3,1,2,4,1
1efy,4,2,4,3,1,2,1,6,4,9,3,3,4,1,3,1,1,7,5,4
1egh,5,2,2,5,1,2,0,6,2,10,2,3,2,3,1,3,1,3,5,3
1eix,9,5,2,4,1,3,3,4,6,5,3,6,3,5,4,5,0,2,12,3
1ejn,5,2,0,6,5,1,0,9,6,4,4,0,2,1,5,6,2,9,4,2
1ela,5,3,3,5,4,1,0,10,1,4,2,1,2,2,5,9,3,0,9,2
1elb,5,4,3,5,4,1,0,9,1,5,1,1,3,1,4,9,3,1,8,2
1elc,5,4,3,5,4,1,0,10,2,5,1,1,3,2,4,10,3,2,8,2
1eld,5,4,3,5,4,2,0,11,2,4,2,1,2,2,5,10,3,1,9,2
1ele,5,2,3,5,4,2,0,11,1,4,2,1,2,2,5,9,3,0,9,2
1elr,10,3,4,5,2,2,3,3,3,3,9,1,3,1,1,3,0,8,2,0
1ent,4,0,2,11,0,4,2,15,10,9,1,0,7,2,14,8,3,5,3,0
1epo,4,0,2,12,0,3,1,15,11,10,1,0,8,2,14,7,2,5,3,0
1erb,7,3,4,5,1,3,2,6,3,5,6,4,7,1,5,2,4,4,7,1
1ew8,14,1,2,6,0,4,3,4,2,1,2,1,0,1,5,4,1,2,1,4
1ew9,11,1,3,6,0,2,2,4,1,1,2,1,0,1,5,3,0,1,1,4
1ex8,5,8,6,4,0,3,5,4,4,12,1,3,2,8,1,5,3,4,4,1
1ez9,6,2,5,3,0,2,6,5,4,3,2,2,4,7,4,2,5,3,5,1
1ezq,4,3,0,4,5,4,4,10,5,1,5,1,5,0,5,5,1,4,4,3
1f0r,4,2,0,4,4,3,4,9,5,1,3,1,4,1,6,4,1,4,4,3
1f0s,4,2,0,4,4,3,4,11,5,1,3,1,4,1,6,4,1,4,4,2
1f0t,5,0,6,3,5,3,0,12,4,2,4,1,2,2,6,3,1,5,4,1
1f0u,5,0,6,3,5,3,0,13,4,2,4,1,2,2,9,5,1,5,4,1
1f2o,4,2,3,7,1,0,4,10,2,4,0,1,3,0,7,2,1,3,1,3
1f2p,4,2,3,8,1,0,4,9,3,4,0,1,3,0,7,2,1,4,2,3
1f3e,3,1,1,3,2,4,2,10,1,6,0,7,3,1,7,3,1,4,7,0
1f4e,7,4,1,2,3,1,2,2,6,8,1,1,3,2,3,1,6,3,4,4
1f4f,6,5,3,3,3,3,2,3,6,9,2,1,3,4,3,1,4,5,5,5
1f4g,6,6,3,4,3,4,2,4,6,11,2,0,3,4,5,5,4,5,5,5
1f4x,5,2,3,1,0,0,0,3,0,2,0,0,3,0,4,2,3,4,3,1
1f57,3,3,2,3,0,2,3,5,6,3,0,0,3,0,7,4,1,3,0,2
1f5k,4,1,0,5,5,1,0,8,4,4,3,0,0,1,4,3,2,3,4,2
1f5l,4,1,1,6,5,1,0,8,4,4,4,0,0,1,4,6,2,4,4,2
1f8a,1,4,3,0,0,2,3,5,6,1,4,2,2,1,6,1,2,2,2,2
1f9g,4,8,6,3,0,1,4,4,1,1,1,1,1,0,4,2,2,4,1,1
1fao,0,3,0,1,0,1,1,2,2,4,5,0,4,1,1,4,2,2,1,0
1fch,12,3,9,1,3,5,5,8,5,16,1,2,4,0,9,4,1,5,4,1
1fcx,5,4,1,3,3,2,5,5,9,15,5,6,5,5,5,8,1,2,1,2
1fcy,4,4,1,3,3,2,5,5,9,15,5,6,6,5,5,8,1,2,1,2
1fcz,6,4,1,3,3,2,5,5,9,16,5,6,6,5,4,8,1,2,1,2
1fd0,6,4,1,3,3,2,5,5,9,16,5,6,6,5,5,8,1,2,1,2
1fdq,4,5,5,4,1,2,3,3,5,4,6,3,7,1,4,12,2,2,9,2
1fh7,4,3,5,6,0,2,4,3,2,6,2,1,2,1,3,2,4,4,6,3
1fh8,4,3,4,6,0,2,4,3,1,6,2,1,2,1,3,2,4,4,6,3
1fh9,4,3,5,7,0,2,4,3,2,6,2,1,2,1,3,2,4,4,7,3
1fhd,4,3,5,7,0,2,4,3,2,6,2,1,3,1,3,3,4,4,7,3
1fiv,1,4,4,3,1,2,1,7,5,7,3,2,1,2,1,2,0,0,3,0
1fj4,12,1,3,4,1,0,2,13,1,3,2,3,5,2,10,7,0,0,5,3
1fjs,4,3,0,4,5,4,4,10,5,1,4,1,5,1,5,4,1,5,4,3
1fkb,1,3,0,3,1,1,4,7,4,4,5,2,4,3,2,2,1,3,5,2
1fkf,3,3,0,4,1,1,4,6,4,3,5,2,4,5,3,2,1,3,5,3
1fkg,3,3,0,3,1,1,4,6,4,3,5,2,4,4,2,2,1,3,5,2
1fkh,3,3,0,3,1,1,4,6,4,3,5,2,4,4,2,2,1,3,5,2
1fki,2,3,0,3,1,1,3,5,4,3,4,2,4,3,2,1,1,3,5,2
1fkn,6,4,3,4,0,4,4,11,7,7,5,2,4,2,10,6,3,9,6,0
1fkw,5,2,0,5,3,1,4,6,5,9,1,3,3,4,4,3,2,3,4,6
1fl3,2,5,1,0,2,4,2,5,3,6,3,1,0,1,4,1,3,6,3,1
1flr,0,3,2,1,0,2,1,2,1,2,1,1,2,1,3,4,4,5,4,2
1fm9,3,4,0,4,1,9,10,6,11,14,7,6,8,4,5,4,0,2,8,3
1fo0,8,12,3,3,2,6,11,7,4,11,4,3,5,0,5,7,5,14,7,1
1fpc,4,4,4,6,5,0,4,10,4,6,3,1,3,2,2,3,3,4,4,1
1fq5,9,2,3,7,0,3,1,11,9,11,2,1,5,3,6,9,2,7,4,1
1ftm,5,4,2,2,1,0,4,9,6,6,3,4,5,2,5,7,2,5,5,0
1fv0,4,1,2,3,7,0,1,5,3,5,4,1,3,2,5,2,1,5,1,1
1fwu,0,2,3,2,0,1,2,3,0,4,2,0,2,0,2,0,3,3,0,1
1fwv,0,2,3,2,0,1,3,3,0,4,2,0,2,0,2,0,3,3,0,1
1fzj,10,7,1,3,2,6,10,7,4,9,4,3,4,1,3,6,5,15,7,1
1fzk,11,8,1,4,2,6,10,6,4,9,4,3,5,0,3,6,5,15,7,1
1fzm,9,9,1,3,2,6,10,7,5,10,4,2,5,1,4,6,5,12,7,1
1fzo,11,9,2,4,2,6,9,7,5,9,4,2,5,1,4,6,5,12,7,1
1fzq,5,1,3,5,1,3,1,4,5,8,4,0,1,0,3,5,1,1,3,0
1g1d,3,2,3,1,1,4,4,3,3,7,1,0,5,3,3,3,6,2,5,7
1g2k,2,2,2,3,0,1,1,7,5,7,1,1,1,3,0,4,0,0,5,0
1g2l,5,2,0,4,5,4,4,9,5,2,5,1,5,0,6,4,1,5,4,3
1g2o,11,1,2,2,0,0,7,13,3,10,0,1,1,3,4,7,1,3,6,4
1g30,4,6,3,6,5,0,4,10,4,5,3,1,3,2,3,3,3,5,4,1
1g32,4,6,3,6,5,0,4,10,4,6,3,1,3,2,2,3,3,5,4,1
1g35,2,2,2,3,0,1,1,7,5,7,1,1,1,3,0,4,0,0,5,0
1g36,6,0,5,3,5,3,0,12,4,2,4,1,2,2,7,3,1,6,4,1
1g3b,4,0,3,3,5,2,0,11,3,2,4,0,2,1,7,1,1,5,4,1
1g3c,5,0,4,3,5,3,0,10,3,2,4,0,2,1,6,2,1,6,4,1
1g3d,5,0,1,3,5,2,0,11,3,2,4,0,2,1,7,2,1,5,4,1
1g3e,5,0,4,3,5,2,0,11,3,2,5,0,2,1,7,2,1,6,4,1
1g45,3,2,3,2,1,4,4,4,3,7,1,0,4,3,3,3,6,2,7,7
1g46,3,2,3,1,1,4,4,5,3,8,1,0,4,3,3,3,6,2,7,7
1g48,3,2,3,2,1,4,4,6,3,7,1,0,4,3,3,3,6,2,7,7
1g4j,3,2,3,1,1,4,4,4,3,8,2,0,4,3,3,3,6,2,7,7
1g4o,3,1,3,1,1,4,4,5,3,7,1,0,4,3,3,3,6,2,6,7
1g52,3,3,3,2,1,4,4,3,3,8,1,0,5,3,3,3,6,2,6,7
1g53,3,2,3,2,1,4,4,5,3,7,1,0,5,3,3,3,6,2,6,7
1g54,3,3,3,1,1,4,4,4,3,8,1,0,5,3,3,3,6,2,6,6
1g7f,2,7,3,3,2,3,1,6,2,6,4,3,2,2,5,3,1,2,4,1
1g7g,2,8,5,3,3,4,1,6,2,6,4,3,3,2,4,3,1,2,4,1
1g7q,8,9,1,2,2,6,11,6,4,10,4,3,4,0,3,5,5,13,7,1
1g7v,7,5,4,7,3,3,3,3,0,5,5,1,5,5,5,1,0,1,4,5
1g85,3,3,4,2,0,1,3,4,5,5,3,0,8,1,2,7,0,5,11,2
1g98,3,2,5,4,0,6,4,10,5,4,4,1,4,1,8,7,2,3,2,1
1g9r,9,2,6,8,1,3,0,3,7,7,2,0,5,5,3,2,1,8,6,4
1ga8,4,3,5,5,1,4,1,2,3,1,1,0,4,2,2,3,1,6,2,2
1gaf,3,2,1,1,1,2,0,3,4,5,2,0,1,1,2,2,2,8,0,1
1gah,2,5,5,8,1,2,4,7,0,6,1,0,3,4,10,5,5,8,4,0
1gai,2,5,5,8,1,2,3,7,0,6,1,0,3,4,10,5,5,8,4,0
1gar,6,3,4,3,0,3,3,7,6,12,1,1,5,3,9,4,0,2,6,3
1gcz,6,1,4,2,1,1,1,4,5,4,2,2,3,3,3,2,1,5,3,1
1ghv,4,2,1,4,5,0,3,10,2,6,3,0,4,0,2,3,2,4,4,1
1ghw,4,1,1,4,5,0,4,11,2,7,3,0,4,0,2,3,3,4,4,1
1ghy,4,2,2,5,5,0,4,11,3,6,3,0,4,2,2,2,4,5,4,1
1ghz,5,0,2,3,5,2,0,11,3,2,4,0,2,1,6,1,1,6,4,1
